Price,price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,,
2024-01-02,368.11724853515625,370.8699951171875,375.8999938964844,366.7699890136719,373.8599853515625,25258600
2024-01-03,367.8492736816406,370.6000061035156,373.260009765625,368.510009765625,369.010009765625,23083500
2024-01-04,365.208984375,367.94000244140625,373.1000061035156,367.1700134277344,370.6700134277344,20901500
2024-01-05,365.0204162597656,367.75,372.05999755859375,366.5,368.9700012207031,20987000
2024-01-08,371.9089050292969,374.69000244140625,375.20001220703125,369.010009765625,369.29998779296875,23134000
2024-01-09,373.0007629394531,375.7900085449219,375.989990234375,371.19000244140625,372.010009765625,20830000
2024-01-10,379.92889404296875,382.7699890136719,384.1700134277344,376.32000732421875,376.3699951171875,25514200
2024-01-11,381.7751159667969,384.6300048828125,390.67999267578125,380.3800048828125,386.0,27850800
2024-01-12,385.58660888671875,388.4700012207031,388.67999267578125,384.6499938964844,385.489990234375,21645700
2024-01-16,387.37322998046875,390.2699890136719,394.0299987792969,387.6199951171875,393.6600036621094,27202300
2024-01-17,386.57916259765625,389.4700012207031,390.1099853515625,384.80999755859375,387.9800109863281,22234100
2024-01-18,390.946533203125,393.8699951171875,393.989990234375,390.1199951171875,391.7200012207031,23392100
2024-01-19,395.7109375,398.6700134277344,398.6700134277344,393.5,395.760009765625,29272000
2024-01-22,393.56695556640625,396.510009765625,400.6199951171875,393.5899963378906,400.0199890136719,27016900
2024-01-23,395.9391784667969,398.8999938964844,399.3800048828125,393.92999267578125,395.75,20525900
2024-01-24,399.5720520019531,402.55999755859375,405.6300048828125,400.45001220703125,401.5400085449219,24867000
2024-01-25,401.86492919921875,404.8699951171875,407.010009765625,402.5299987792969,404.32000732421875,21021200
2024-01-26,400.931884765625,403.92999267578125,406.1700134277344,402.42999267578125,404.3699951171875,17803300
2024-01-29,406.67889404296875,409.7200012207031,409.9800109863281,404.3299865722656,406.05999755859375,24510200
2024-01-30,405.5572509765625,408.5899963378906,413.04998779296875,406.45001220703125,412.260009765625,33477600
2024-01-31,394.6289978027344,397.5799865722656,415.32000732421875,397.2099914550781,406.9599914550781,47871100
2024-02-01,400.78302001953125,403.7799987792969,408.0,401.79998779296875,401.8299865722656,30657700
2024-02-02,408.16778564453125,411.2200012207031,412.6499938964844,403.55999755859375,403.80999755859375,28245000
2024-02-05,402.6391296386719,405.6499938964844,411.1600036621094,403.989990234375,409.8999938964844,25352300
2024-02-06,402.4802551269531,405.489990234375,407.9700012207031,402.9100036621094,405.8800048828125,18382600
2024-02-07,410.97674560546875,414.04998779296875,414.29998779296875,407.3999938964844,407.44000244140625,22340500
2024-02-08,411.0362854003906,414.1099853515625,415.55999755859375,412.5299987792969,414.04998779296875,21225300
2024-02-09,417.4284973144531,420.54998779296875,420.82000732421875,415.0899963378906,415.25,22032800
2024-02-12,412.17779541015625,415.260009765625,420.739990234375,414.75,420.55999755859375,21202900
2024-02-13,403.30413818359375,406.32000732421875,410.07000732421875,403.3900146484375,404.94000244140625,27824900
2024-02-14,407.2022399902344,409.489990234375,409.8399963378906,404.57000732421875,408.07000732421875,20401200
2024-02-15,404.2886047363281,406.55999755859375,409.1300048828125,404.2900085449219,408.1400146484375,21825500
2024-02-16,401.8025817871094,404.05999755859375,408.2900085449219,403.44000244140625,407.9599914550781,22281100
2024-02-20,400.5396728515625,402.7900085449219,404.489990234375,398.010009765625,403.239990234375,24307900
2024-02-21,399.93304443359375,402.17999267578125,402.2900085449219,397.2200012207031,400.1700134277344,18631100
2024-02-22,409.35015869140625,411.6499938964844,412.8299865722656,408.57000732421875,410.19000244140625,27009900
2024-02-23,408.0474853515625,410.3399963378906,415.8599853515625,408.9700012207031,415.6700134277344,16295900
2024-02-26,405.2631530761719,407.5400085449219,412.1600036621094,407.3599853515625,411.4599914550781,16193500
2024-02-27,405.2034606933594,407.4800109863281,408.32000732421875,403.8500061035156,407.989990234375,14835800
2024-02-28,405.4421081542969,407.7200012207031,409.29998779296875,405.32000732421875,408.17999267578125,13183100
2024-02-29,411.3290710449219,413.6400146484375,414.20001220703125,405.9200134277344,408.6400146484375,31947300
